	8	1	1	04h 57' 33''
	8	2	184	04h 57' 46''
	8	3	141	04h 57' 46''
	8	4	41	04h 57' 46''
	8	5	36	04h 57' 46''
	8	6	21	04h 57' 46''
	8	7	209	04h 57' 46''
	8	8	12	04h 57' 46''
	8	9	61	04h 57' 46''
	8	10	91	04h 57' 46''
	8	11	11	04h 57' 46''
	8	12	99	04h 57' 46''
	8	13	157	04h 57' 46''
	8	14	2	04h 57' 46''
	8	15	131	04h 59' 14''
	8	16	111	04h 59' 14''
	8	17	31	04h 59' 14''
	8	18	79	04h 59' 14''
	8	19	9	04h 59' 14''
	8	20	5	04h 59' 14''
	8	21	48	04h 59' 14''
	8	22	65	04h 59' 14''
	8	23	147	04h 59' 14''
	8	24	81	04h 59' 18''
	8	25	23	04h 59' 18''
	8	26	51	04h 59' 18''
	8	27	126	05h 00' 28''
	8	28	94	05h 01' 43''
	8	29	52	05h 01' 45''
	8	30	25	05h 01' 45''
	8	31	17	05h 01' 45''
	8	32	211	05h 03' 04''
	8	33	179	05h 07' 51''
	8	34	118	05h 07' 51''
	8	35	69	05h 07' 51''
	8	36	4	05h 07' 51''
	8	37	37	05h 08' 59''
	8	38	6	05h 08' 59''
	8	39	49	05h 10' 07''
	8	40	124	05h 10' 58''
	8	41	149	05h 10' 58''
	8	42	136	05h 10' 58''
	8	43	96	05h 10' 58''
	8	44	66	05h 10' 58''
	8	45	208	05h 10' 58''
	8	46	191	05h 10' 58''
	8	47	116	05h 10' 58''
	8	48	185	05h 10' 58''
	8	49	71	05h 10' 58''
	8	50	35	05h 10' 58''
	8	51	121	05h 13' 52''
	8	52	205	05h 13' 52''
	8	53	114	05h 16' 10''
	8	54	16	05h 18' 27''
	8	55	19	05h 18' 27''
	8	56	175	05h 18' 57''
	8	57	26	05h 20' 06''
	8	58	145	05h 21' 42''
	8	59	89	05h 22' 47''
	8	60	72	05h 23' 15''
	8	61	24	05h 23' 15''
	8	62	218	05h 23' 15''
	8	63	127	05h 23' 15''
	8	64	74	05h 23' 15''
