	8	207	20 pkte	20
	8	43	17 pkte	17
	8	67	15 pkte	15
	8	72	13 pkte	13
	8	139	11 pkte	11
	8	114	10 pkte	10
	8	89	9 pkte	9
	8	177	8 pkte	8
	8	28	7 pkte	7
	8	15	6 pkte	6
	8	191	5 pkte	5
	8	149	4 pkte	4
	8	6	3 pkte	3
	8	32	2 pkte	2
	8	121	1 pkte	1
	8	1	20 pkte	20
	8	184	17 pkte	17
	8	141	15 pkte	15
	8	41	13 pkte	13
	8	36	11 pkte	11
	8	21	10 pkte	10
	8	209	9 pkte	9
	8	12	8 pkte	8
	8	61	7 pkte	7
	8	91	6 pkte	6
	8	11	5 pkte	5
	8	99	4 pkte	4
	8	157	3 pkte	3
	8	2	2 pkte	2
	8	131	1 pkte	1












