	15	107	20 pkte	20
	15	37	17 pkte	17
	15	124	15 pkte	15
	15	72	13 pkte	13
	15	136	11 pkte	11
	15	25	10 pkte	10
	15	145	9 pkte	9
	15	191	8 pkte	8
	15	159	7 pkte	7
	15	88	6 pkte	6
	15	69	5 pkte	5
	15	177	4 pkte	4
	15	89	3 pkte	3
	15	156	2 pkte	2
	15	22	1 pkte	1
	15	79	20 pkte	20
	15	37	17 pkte	17
	15	49	15 pkte	15
	15	126	13 pkte	13
	15	182	11 pkte	11
	15	107	10 pkte	10
	15	81	9 pkte	9
	15	149	8 pkte	8
	15	191	7 pkte	7
	15	88	6 pkte	6
	15	155	5 pkte	5
	15	136	4 pkte	4
	15	6	3 pkte	3
	15	1	2 pkte	2
	15	11	1 pkte	1





