	3	215	20 pkte	20
	3	179	17 pkte	17
	3	181	15 pkte	15
	3	144	13 pkte	13
	3	32	11 pkte	11
	3	101	10 pkte	10
	3	161	9 pkte	9
	3	207	8 pkte	8
	3	171	7 pkte	7
	3	187	6 pkte	6
	3	186	5 pkte	5
	3	163	4 pkte	4
	3	185	3 pkte	3
	3	14	2 pkte	2
	3	15	1 pkte	1
	3	101	50 pkte	50
	3	161	30 pkte	30
	3	171	20 pkte	20
	3	32	18 pkte	18
	3	68	16 pkte	16
	3	75	14 pkte	14
	3	181	12 pkte	12
	3	196	10 pkte	10
	3	216	8 pkte	8
	3	53	7 pkte	7
	3	144	6 pkte	6
	3	207	5 pkte	5
	3	113	4 pkte	4
	3	154	3 pkte	3
	3	182	2 pkte	2
