	2	134	20 pkte	20
	2	139	17 pkte	17
	2	212	15 pkte	15
	2	67	13 pkte	13
	2	161	11 pkte	11
	2	181	10 pkte	10
	2	144	9 pkte	9
	2	32	8 pkte	8
	2	101	7 pkte	7
	2	164	6 pkte	6
	2	171	5 pkte	5
	2	207	4 pkte	4
	2	16	3 pkte	3
	2	142	2 pkte	2
	2	13	1 pkte	1
	2	32	50 pkte	50
	2	182	30 pkte	30
	2	12	20 pkte	20
	2	184	18 pkte	18
	2	207	16 pkte	16
	2	51	14 pkte	14
	2	165	12 pkte	12
	2	98	10 pkte	10
	2	61	8 pkte	8
	2	1	7 pkte	7
	2	201	6 pkte	6
	2	81	5 pkte	5
	2	209	4 pkte	4
	2	111	3 pkte	3
	2	141	2 pkte	2
