	20	207	20 pkte	20
	20	163	17 pkte	17
	20	32	15 pkte	15
	20	51	13 pkte	13
	20	151	11 pkte	11
	20	89	10 pkte	10
	20	36	9 pkte	9
	20	2	8 pkte	8
	20	19	7 pkte	7
	20	22	6 pkte	6
	20	47	5 pkte	5
	20	165	4 pkte	4
	20	206	3 pkte	3
	20	17	2 pkte	2
	20	65	1 pkte	1
	20	17	20 pkte	20
	20	79	17 pkte	17
	20	22	15 pkte	15
	20	182	13 pkte	13
	20	151	11 pkte	11
	20	36	10 pkte	10
	20	51	9 pkte	9
	20	141	8 pkte	8
	20	184	7 pkte	7
	20	41	6 pkte	6
	20	11	5 pkte	5
	20	12	4 pkte	4
	20	209	3 pkte	3
	20	157	2 pkte	2
	20	37	1 pkte	1
