	4	138	20 pkte	20
	4	78	17 pkte	17
	4	63	15 pkte	15
	4	47	13 pkte	13
	4	32	11 pkte	11
	4	181	10 pkte	10
	4	101	9 pkte	9
	4	161	8 pkte	8
	4	68	7 pkte	7
	4	187	6 pkte	6
	4	186	5 pkte	5
	4	163	4 pkte	4
	4	185	3 pkte	3
	4	207	2 pkte	2
	4	171	1 pkte	1
	4	181	50 pkte	50
	4	171	30 pkte	30
	4	32	20 pkte	20
	4	53	18 pkte	18
	4	144	16 pkte	16
	4	75	14 pkte	14
	4	216	12 pkte	12
	4	101	10 pkte	10
	4	44	8 pkte	8
	4	201	7 pkte	7
	4	68	6 pkte	6
	4	57	5 pkte	5
	4	83	4 pkte	4
	4	207	3 pkte	3
	4	182	2 pkte	2
















