	10	32	20 pkte	20
	10	207	17 pkte	17
	10	94	15 pkte	15
	10	103	13 pkte	13
	10	165	11 pkte	11
	10	104	10 pkte	10
	10	203	9 pkte	9
	10	205	8 pkte	8
	10	44	7 pkte	7
	10	151	6 pkte	6
	10	16	5 pkte	5
	10	22	4 pkte	4
	10	98	3 pkte	3
	10	4	2 pkte	2
	10	172	1 pkte	1
	10	207	30 pkte	30
	10	32	25 pkte	25
	10	103	22 pkte	22
	10	98	19 pkte	19
	10	44	17 pkte	17
	10	205	15 pkte	15
	10	203	13 pkte	13
	10	94	11 pkte	11
	10	16	9 pkte	9
	10	165	7 pkte	7
	10	151	6 pkte	6
	10	172	5 pkte	5
	10	4	4 pkte	4
	10	22	3 pkte	3
	10	104	2 pkte	2










