	111	WARREN	BARGUIL	17	1
	113	John	DEGENKOLB	17	1
	119	Albert	TIMMER	17	1
	117	Ramon	SINKELDAM	17	1
	112	Roy	CURVERS	17	1
	114	Tom	DUMOULIN	17	1
	115	Simon	GESCHKE	17	1
	116	Georg	PREIDLER	17	1
	118	Laurens	TEN DAM	17	1
	144	Alexander	KRISTOFF	18	1
	147	Jurgen	VAN DEN BROECK	18	1
	142	Jacopo	GUARNIERI	18	1
	149	Ilnur	ZAKARIN	18	1
	141	Joaquin	RODRIGUEZ OLIVER 	18	1
	145	Alberto	LOSADA	18	1
	148	Angel	VICIOSO	18	1
	146	Michael	MORKOV	18	1
	143	Marco	HALLER	18	1
	53	Dylan	GROENEWEGEN	19	1
	58	Robert	WAGNER	19	1
	55	Paul	MARTENS	19	1
	54	Bert Jan	LINDEMAN	19	1
	57	Sep	VANMARCKE	19	1
	51	Wilco	KELDERMAN	19	1
	52	George	BENNETT	19	1
	59	Maarten	WYNANTS	19	1
	56	Timo	ROOSEN	19	1
	1	Christopher	FROOME	20	1
	2	Sergio Luis	HENAO	20	1
	3	Vasili	KIRYIENKA	20	1
	8	Ian	STANNARD	20	1
	4	Mikel	LANDA	20	1
	5	Mikel	NIEVE	20	1
	9	Geraint	THOMAS	20	1
	7	Luke	ROWE	20	1
	6	Wouter	POELS	20	1
	32	Peter	SAGAN	21	1
	36	Roman	KREUZIGER	21	1
	34	Oscar	GATTO	21	1
	39	Michael	VALGREN ANDERSEN	21	1
	31	Alberto	CONTADOR	21	1
	38	Matteo	TOSATTO	21	1
	35	Robert	KISERLOVSKI	21	1
	33	Maciej	BODNAR	21	1
	37	Rafal	MAJKA	21	1
	68	Edward	THEUNS	22	1
	67	Jasper	STUYVEN	22	1
	64	Gregory	RAST	22	1
	63	Markel	IRIZAR	22	1
	62	Fabian	CANCELLARA	22	1
	61	Bauke	MOLLEMA	22	1
	69	Haimar	ZUBELDIA	22	1
	66	Peter	STETINA	22	1
	65	Frank	SCHLECK	22	1
