	15	37	10 pkte	10
	15	149	8 pkte	8
	15	107	6 pkte	6
	15	22	4 pkte	4
	15	72	2 pkte	2
	15	19	1 pkte	1
	15	179	5 pkte	5
	15	37	3 pkte	3
	15	107	2 pkte	2
	15	191	1 pkte	1
	15	107	2 pkte	2
	15	37	1 pkte	1
	15	107	2 pkte	2
	15	37	1 pkte	1
	15	37	25 pkte	25
	15	149	20 pkte	20
	15	182	16 pkte	16
	15	79	14 pkte	14
	15	126	12 pkte	12
	15	49	10 pkte	10
	15	107	8 pkte	8
	15	155	6 pkte	6
	15	136	4 pkte	4
	15	48	2 pkte	2
	15	37	10 pkte	10
	15	79	8 pkte	8
	15	126	6 pkte	6
	15	49	4 pkte	4
	15	107	2 pkte	2
	15	81	1 pkte	1
