	9	121	10 pkte	10
	9	163	8 pkte	8
	9	37	6 pkte	6
	9	72	4 pkte	4
	9	15	2 pkte	2
	9	52	1 pkte	1
	9	163	10 pkte	10
	9	121	8 pkte	8
	9	37	6 pkte	6
	9	27	4 pkte	4
	9	72	2 pkte	2
	9	49	1 pkte	1
	9	163	5 pkte	5
	9	27	3 pkte	3
	9	121	2 pkte	2
	9	37	1 pkte	1
	9	121	10 pkte	10
	9	27	8 pkte	8
	9	52	6 pkte	6
	9	71	4 pkte	4
	9	13	2 pkte	2
	9	37	1 pkte	1
	9	114	50 pkte	50
	9	151	40 pkte	40
	9	37	32 pkte	32
	9	191	28 pkte	28
	9	13	24 pkte	24
	9	121	20 pkte	20
	9	52	16 pkte	16
	9	27	12 pkte	12
	9	71	8 pkte	8
	9	209	4 pkte	4
